"","@ in URLs","Attachments","Css","Encoding","External Resources","Flash content","HTML content","Html Form","Html iFrame","IPs in URLs","Javascript","Phishy","URLs"
"0","False","0","0","none","0","False","True","False","False","True","0","True","2"
"1","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"2","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"3","False","0","0","8bit","0","False","True","False","False","True","0","True","3"
"4","False","0","0","8bit","0","False","True","False","False","True","0","True","3"
"5","False","0","0","none","0","False","True","False","False","False","0","True","3"
"6","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"7","False","0","1","8bit","1","False","True","False","False","False","0","True","6"
"8","False","0","0","8bit","0","False","True","False","False","False","1","True","14"
"9","False","0","0","none","0","False","True","False","False","True","0","True","2"
"10","False","0","0","7bit","0","False","True","False","False","False","0","True","13"
"11","False","0","0","7bit","0","False","True","False","False","True","0","True","4"
"12","False","0","0","7bit","0","False","True","False","False","False","0","True","15"
"13","False","0","1","7bit","1","False","True","False","False","True","1","True","24"
"14","False","0","0","none","0","False","True","False","False","True","0","True","2"
"15","False","0","0","none","0","False","True","False","False","True","0","True","9"
"16","False","0","0","8bit","0","False","True","False","False","False","0","True","14"
"17","False","0","0","none","0","False","True","False","False","True","0","True","5"
"18","False","0","0","none","0","False","True","False","False","True","0","True","5"
"19","False","0","0","none","0","False","True","False","False","True","0","True","3"
"20","False","0","0","none","0","False","True","False","False","True","0","True","3"
"21","False","0","0","8bit","0","False","True","False","False","False","0","True","3"
"22","False","0","0","8bit","0","False","True","False","False","False","0","True","5"
"23","False","0","0","8bit","0","False","True","False","False","False","0","True","5"
"24","False","0","0","8bit","0","False","True","False","False","True","0","True","3"
"25","False","0","0","none","0","False","True","False","False","True","0","True","3"
"26","False","0","0","none","0","False","True","False","False","True","0","True","2"
"27","False","0","0","none","0","False","True","False","False","True","0","True","2"
"28","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"29","False","0","0","none","0","False","True","False","False","True","0","True","4"
"30","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"31","False","0","0","none","0","False","True","False","False","True","0","True","2"
"32","False","0","0","7bit","0","False","True","False","False","True","0","True","22"
"33","False","0","0","7bit","0","False","True","False","False","True","0","True","22"
"34","False","0","1","7bit","0","False","True","False","False","True","0","True","3"
"35","False","0","1","8bit","1","False","True","False","False","False","0","True","6"
"36","False","0","0","none","0","False","True","False","False","True","0","True","2"
"37","False","0","0","none","0","False","True","False","False","True","0","True","2"
"38","False","0","0","7bit","0","False","True","False","False","True","0","True","22"
"39","False","0","0","7bit","0","False","True","False","False","False","0","True","1"
"40","False","0","0","none","0","False","True","False","False","True","0","True","2"
"41","False","1","0","none","0","False","True","False","False","False","0","True","0"
"42","False","1","0","none","0","False","True","False","False","False","0","True","0"
"43","False","1","0","none","0","False","True","False","False","False","0","True","0"
"44","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"45","False","0","0","none","0","False","True","False","False","False","0","True","8"
"46","False","0","0","none","0","False","True","False","False","False","0","True","16"
"47","False","0","0","none","0","False","True","False","False","True","0","True","2"
"48","False","0","0","none","0","False","True","False","False","True","0","True","4"
"49","False","0","0","none","0","False","True","False","False","True","0","True","2"
"50","False","0","0","none","0","False","True","False","False","False","10","True","21"
"51","False","0","0","7bit","0","False","True","False","False","True","0","True","22"
"52","False","0","0","none","0","False","True","False","False","False","0","True","1"
"53","False","0","1","none","0","False","True","True","False","True","4","True","23"
"54","False","0","0","none","0","False","True","False","False","True","0","True","5"
"55","False","0","0","8bit","0","False","True","False","False","True","0","True","4"
"56","False","0","0","none","0","False","True","False","False","True","0","True","9"
"57","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"58","False","0","0","none","0","False","True","False","False","True","0","True","2"
"59","False","0","0","none","0","False","True","False","False","False","0","True","2"
"60","False","0","1","quoted-printable","0","False","True","False","False","False","0","True","3"
"61","False","0","1","quoted-printable","0","False","True","False","False","False","0","True","3"
"62","False","0","1","quoted-printable","0","False","True","False","False","False","0","True","3"
"63","False","0","1","quoted-printable","0","False","True","False","False","False","0","True","3"
"64","False","0","0","none","0","False","True","False","False","True","0","True","8"
"65","False","0","0","8bit","0","False","True","False","False","True","1","True","14"
"66","False","0","0","none","0","False","True","False","False","True","0","True","13"
"67","False","0","0","none","0","False","True","False","False","False","0","True","9"
"68","False","0","0","8bit","0","False","True","False","False","False","0","True","11"
"69","False","0","0","none","0","False","True","False","False","False","0","True","10"
"70","False","0","0","quoted-printable","0","False","True","False","False","True","0","True","4"
"71","False","0","0","none","0","False","True","False","False","True","0","True","2"
"72","False","0","0","none","0","False","True","False","False","True","0","True","12"
"73","False","0","0","none","0","False","True","False","False","True","0","True","12"
"74","False","0","0","none","0","False","True","False","False","True","0","True","4"
